name,id,flux/second,f/s (base rate),f/s (base cap),flux/use,f/u (base rate),f/u (base cap),cr/u,max uses,regen,charge up,active,down,cooldown,toggle,noDissipation,noHardDissipation,hardFlux,noFiring,noTurning,noStrafing,noAccel,noShield,noVent,isPhaseCloak,tags,icon
Plasma Jets,plasmajets_phosphor,,,,,,,,,,4,6,4,15,,,,,,,,,TRUE,,,,graphics/icons/hullsys/infernium_injector.png
Plasma Burn,microburn_phosphor,100,,,800,,,,,,3,1,1,10,,,,TRUE,,,TRUE,TRUE,TRUE,TRUE,,,graphics/icons/hullsys/burn_drive.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burst Drive,microburn_lowtech,,,,,,,,3,0.1,0.5,0.4,0.5,,,TRUE,TRUE,,,,TRUE,TRUE,,TRUE,,,graphics/icons/hullsys/burn_drive.png
Phase Skimmer,displacer_blitz,,,,,,,,10,0.3,0,,0.2,0.01,,TRUE,,TRUE,,,,,,,,,graphics/icons/hullsys/displacer.png
Temporal Shell,temporalshell_blitz,1,,,,,0.25,,,,6,22,2,10,,,,,,,,,,,,,graphics/icons/hullsys/temporal_shell.png
P-DIVE (E),phasecloak_skimmer,,,600,4000,,,,3,0.1,0,2.0,0.5,2.5,,,,TRUE,TRUE,,,,,,TRUE,,graphics/icons/hullsys/phase_cloak.png
System Overload,nsp_systemoverload,,,,,,0.25,,,,0.5,,1,20,,,,,,,,,,,,,graphics/icons/hullsys/quantum_disruptor.png
Deep Strike,deepstrike,1,,,,,,,,,2.7,6,1,14,,,,,,,TRUE,TRUE,,,,,graphics/icons/hullsys/burn_drive.png
Deep Strike,deepstrike_domain,1,,,,,,,3,0.1,0.5,2,0.5,,,,,,,,TRUE,TRUE,,,,,graphics/icons/hullsys/burn_drive.png
Temporal Jaunt,phaseteleporter_shell,1,,,,,0.25,,,,4,10,2,10,,,,,,,,,,,,,graphics/icons/hullsys/temporal_shell.png
Damper Field,nsp_damper_fighter,1,,,,,,,1,0.01,0.25,3,0.25,0,,,,,TRUE,,,,TRUE,TRUE,,uses_damper_ai,graphics/icons/hullsys/damper_field.png
Damper Field,templar_damper,1,,,,,,,2,0.05,0.25,4,0.25,0,,,,,TRUE,,,,TRUE,TRUE,,"uses_damper_ai, defensive",graphics/icons/hullsys/damper_field.png
Reality Shunt,nsp_phasetunneler,,,,,,,,,,3,0,4.5,25,,,,,,,,,,,,restricted,graphics/icons/hullsys/displacer.png
Temporal Jaunt,nsp_synthdash,,,,,,0.25,,2,0.1,0.19,2,0.25,0.5,,,,,,,,,,,,,graphics/icons/hullsys/temporal_shell.png
Rampage Drive,deepstrikerampager,1,,,,,,,,,2.7,7.5,4,20,,,,,,,TRUE,,TRUE,,,offensive,graphics/icons/hullsys/burn_drive.png
Overdrive Protocol,deepstrike_maneuver,5,,,900,,,,,,0.9,5,1,9.5,,,,TRUE,,,,,TRUE,TRUE,,movement,graphics/icons/hullsys/burn_drive.png
Plasma Overdrive,plasmaoverdrive,1,,,,,,,3,0.05,0.25,3.5,1,,,,,,,,,,,,,offensive,graphics/icons/hullsys/high_energy_focus.png
Spooled Feeders,kardakes_feeder,1,,,,,,,,,1,8,0.3,20,,,,TRUE,,,,,,TRUE,,offensive,graphics/icons/hullsys/ammo_feeder.png
Blink Drive,nsp_blink_drive,,,,,,0.1,,5,0.7,0.15,0,0.25,0,,TRUE,,TRUE,,,,,,,,offensive,graphics/icons/hullsys/displacer.png
Elysium Dive,nsp_temporaljaunt,,,,,,,,2,0.1,0.2,3,0.25,1.5,,TRUE,TRUE,TRUE,TRUE,,,,,TRUE,TRUE,restricted,graphics/icons/hullsys/phase_cloak.png
Maximum Drive,nsp_victoryjets,,,,,,,,,,0.5,4,1,10,TRUE,,,,,,,,,,,movement,graphics/icons/hullsys/combat_burn.png
Disabling Strike,nsp_energy_lash,,,,,,,,,,2,,0.1,7,,,,,,,,,,,,"restricted, offensive, defensive",graphics/icons/hullsys/energy_lash.png
Burst Damper,nsp_burst_damper,1,,,,,,,2,0.15,0.1,1.2,0.1,0,,,TRUE,TRUE,,,,,TRUE,TRUE,,uses_damper_ai,graphics/icons/hullsys/damper_field.png
Phasic Descent,threatphasecloak,,,,,,0.05,,0,,1,8,1,0,,,TRUE,TRUE,TRUE,,,,TRUE,,TRUE,offensive,graphics/icons/hullsys/phase_cloak.png
Heavy Phase Grazer,NSP_drift,,,,,,,,2,0.033,1.5,3,1,3,,,,TRUE,TRUE,,,,TRUE,TRUE,,restricted,graphics/icons/hullsys/displacer.png
