id,type,text1,text2,text3,text4,notes
microburn_lowtech,SHIP_SYSTEM,Activates a series of direct AM fuel injectors. Propels the ship forwards at extreme velocities.,,,,
nsp_sisyphus,SHIP,"The Sisyphus is a vessel that would have been out of place in the spacelanes of the Domain era. A tough little ship, visually and even internally, to some extent, reminiscent of a Monitor-class vessel, albeit one capable of carrying not-insignificant amounts of cargo.
Unlike the Monitor, the Sisyphus is not impossibly difficult to destroy, but the additional survivability added by its substantial (for a freighter) armour is not to be understated. In the hauling business, such as it is in the post-Collapse Persean Sector, a few additional seconds can be just enough for a freighter captain to escape from what would have been a loss with all hands and cargo. In fact, the Sisyphus is *designed* around this fact intentionally: its armour and hull are deliberately built so that it can take damage and be returned to service relatively quickly. Just replace the damaged section of armour, seal it back into place and the Sisyphus is ready for shipping once more.
",,,,
nsp_praxidike,SHIP,"The Praxidike is a unique vessel by pre-Collapse standards, in that it is a dedicated, armoured bulk transport ship, often described as the bastard offspring of an Atlas and a Colossus-class freighter. Indeed, the sheer efficiency of the Atlas appealed to the Strategic Council of the Domain, but its performance in combat conditions left much to be desired. The obvious argument against this was that an Atlas should never see combat in the first place, but after a particularly humiliating incident of elements of a Domain Battlegroup losing their designated supply haulers to rebels, the Praxidike was quietly put into design by Orion Shipyards, the traditional builder of the heavier ships of the Domain Armada such as the notorious Onslaught.",,,,
nsp_praxidike_mkii,SHIP,"The Praxidike is a unique vessel by pre-Collapse standards, in that it is a dedicated, armoured bulk transport ship, often described as the bastard offspring of an Atlas and a Colossus-class freighter. Indeed, the sheer efficiency of the Atlas appealed to the Strategic Council of the Domain, but its performance in combat conditions left much to be desired. The obvious argument against this was that an Atlas should never see combat in the first place, but after a particularly humiliating incident of elements of a Domain Battlegroup losing their designated supply haulers to rebels, the Praxidike was quietly put into design by Orion Shipyards, the traditional builder of the heavier ships of the Domain Armada such as the notorious Onslaught.",,,,
nsp_grox,SHIP,"The Goblin Mk.II is an illicit conversion of an already illicit (and infamously mediocre) ship, that being the Goblin, a phase destroyer only slightly more refined than the Gremlin class. The much-hated design has seen a modification by an ambitious and short-lived pirate warlord, the interior completely redesigned to allow the fitting of a drive field stabiliser, more often than not literally ripped from inside an Ox-class tug.

The profoundly disturbing p-space phenomena associated with the Gremlin, and Goblin class have been further amplified by the addition of this stabiliser, which was never intended to be attached to a vessel with a phase coil. Reports of hallucinations, sporadic loss of consciousness and even worse effects abound for those who try to crew a Goblin Mk.II with a clear head. Individual crew members can rarely endure a month aboard a Goblin Mk.II before being rotated out for psychological concerns. A terrible vessel.
Legend says that one of the first Goblin Mk.IIs ever ""built"" was salvaged from a mercenary convoy that was ambushed by pirates and as such the remains of the original crew were never truly removed, leaving a permanent stench that could not be removed, which was compensated by the crew being given large amounts of mind-altering substances like alcohol, so no different to any other pirate crew.",,,,
nsp_anger,SHIP,"The Anger is a ship that defies traditional expectations of Domain-era shipbuilding. Originally built out of components intended for a variety of different combat vessel hulls, somehow a cohesive design was created in a hidden shipyard beyond the Core Worlds. Originally the brainchild of a brilliant salvager slash inventor, the design, soon after being loaded onto a blueprint chip for nanoforge production, was stolen by, ironically, a salvaging company turned to piracy.",,,,
nsp_absolution,SHIP,"Designed during the later stages of the early Expansion Epoch of the Domain, the Absolution was conceived as a modern replacement slash supplement for the even-then ageing Invictus pattern hull, intended for deployment where the brick-like battleship was deemed excessive or too costly. As part of the Domain Armada's sweeping modernization drive, the Absolution was fitted with several at-the-time revolutionary features, such as its engines, nowadays not particularly notable but in its time rather overpowered, allowing the Absolution to outspeed almost anything of its weight class. And below, at the time of its first manufacture.

However, during testing, the ship was plagued by a series of unfortunate accidents, friendly fire incidents and more that significantly hindered its chances to pass trials for widespread adoption. One of the primary issues appeared to be the overeagerness of the officers commanding the ship during trials. Reports claim that officers captaining the Absolution, and even the bridge crews under their command, became uncharacteristically overconfident, engaging in aggressive tactics, apparently convinced of their inevitable success. Even normally calm and rational individuals were not immune to this rare condition. And yet, when questioned, they often would not recall many of their actions, even when their crew, under their command, had opened fire on a friendly vessel during cooperative testing operations. This was chalked up to a form of pseudo-combat-stress, brought on by the rather intense testing routine the Absolution was put through.

The aggression phenomenon, meanwhile, was officially attributed to the ship's powerful engines and the bridge's design and camera setup for its holotank emphasising the hull's extensive armament, projecting an illusion of invincibility. Not mentioned publicly were the reported incidences of extreme intrusive thoughts in the bridge crew and officers commanding them, headaches and occasionally nausea for those engaging in maintenance near the bridge and other, more disturbing incidents.
In the end, the Absolution lost the bidding war to the now-famous Onslaught and was adopted only in limited amounts by the Domain Armada, blueprints for the class falling into the hands of the Church of Galactic Redemption after the Collapse, just like the ship it was intended to supplement.",,,,
nsp_absolution_domain,SHIP,"This Absolution variant was discovered inactive within the ship docks of what is now understood to be a well-preserved, private Domain habitat. While Domain standards of insignia mandated Navy ships to be painted according to their associated battlegroup, this ship has been instead matched to the colors of the Domain Navy itself. Data scraped from the vessel's memory indicates it was a ""prototype parade-ship""; explaining the unusual paintjob, but not so much the modifications.

The ship has all the hallmarks of a typical Absolution: heavy ballistics integration, uniquely overpowered engines, insulated armor chassis. Notably, however, the ship has been equipped with an unfamiliar engine array; likely prototypical Domain propulsion technology, the engines allow for increased speed and maneuverability in comparison to their standard counterparts, and will reroute power into the weapons arrays when actived for a burn; boosting firerate significantly.

Additionally, the typical inbuilt shield emitters are missing - they have been replaced with an older, external system that is potentially vulnerable to external weapons fire. Instead, the shield emitter is tied to the ship's unusual engines, utilizing a poorly-understood process to ""trim"" excess power and reroute it directly into the shields; increasing their flux efficiency at higher speeds.

The presence of this ship along with its companion Onslaught, Legion, and Dominator is the subject of some interest. The Absolution-class was never chosen for mass-production for the Domain Navy, having lost its bidding contract to the Onslaught. Its presence aboard the station - as well as the use of its unique ""deepstrike"" burn drive system in all four recovered ships, nevermind the paintjob and ""parade"" classification - raises several questions as to its origins and purpose.",,,,
nsp_upgradedmule,SHIP,"The Mule is a rugged and reliable combat-capable freighter which built its reputation on the sparsely-patrolled frontiers of the Domain. Post-collapse, the appeal of the Mule-class has only grown due to the cycles of chaos wracking the Persean Sector, elevating the need for strong armor and powerful weapons to otherwise thrifty traders, scavengers, and prospectors.",,,,
nsp_hammonitor,SHIP,"The Varanus is exactly what one would expect from looking at its hull silhouette. No gimmicks, no high technology, simply a Monitor combined with a Hammerhead. Inspired by a ""design"" spewed out by a corrupted nanoforge where residual elements of a Monitor were pasted onto a Hammerhead thanks to a failure to purge data from the last ship produced, the first true Varanus was a prototype produced by one of Kazeron's leading shipyards. Thanks to inherent flaws with the modifications, it didn't pass selection to join the League's navy as a mainline vessel, but it has found a niche of its own, in both Persean League and independent hands. Maintenance costs are high thanks to the aforementioned design flaws and as such it is sometimes looked down upon as a ""parade piece"" or a ""hangar queen"", but it inherits some of the bricklike resilience of the Monitor combined with an effective shielding layout, which makes, on paper, a very survivable ship, with Monitor-level resilience in a destroyer-sized package. A brutally efficient statement.",,,,
