name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,hints,tags,rarity,breakProb,minPieces,maxPieces,travel drive,number,Column 48,Column 49,Column 50,Column 51,Column 52,Column 53,Column 54
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sisyphus,nsp_sisyphus,Combat Freighter,Low Tech,damper,8,3500,800,4500,1350,500,110,,70,90,80,50,120,350,FRONT,,240,0.5,1,,,30,70,120,60,3,35,10,50000,6,20,380,0.25,12,12,"COMBAT, FREIGHTER","lowtech_bp, merc, ind",,0.3,2,3,,1,,,,,,,
Praxidike,nsp_praxidike,Superfreighter,Low Tech,combat_burn,35,14000,1400,11500,6500,650,240,,40,25,20,7,7,6500,OMNI,,120,0.5,1,,,700,1400,1200,400,8,67,7,140000,7,10,720,0.25,40,40,"COMBAT, FREIGHTER","rare_bp, merc, ind",,0.4,2,3,,3,,,,,,,
Praxidike Mk.II,nsp_praxidike_mkii,Supercarrier,Pirate,combat_burn,35,14000,1300,11500,6500,650,245,5,40,25,20,7,7,6500,OMNI,,120,0.5,1,,,900,1400,400,400,8,67,7,140000,7,10,720,0.25,45,45,"COMBAT, FREIGHTER","rare_bp, merc, ind",,0.4,2,3,,3,,,,,,,
Wolf (H) II,nsp_wolf_heg,Frigate,Hegemony,displacer,5,1600,250,2250,1875,150,60,,120,100,90,40,90,230,FRONT,,150,0.4,0.8,,,15,30,50,20,1,20,10,15000,10,20,180,0.25,7,7,,"rare_bp, merc, ind",,0.5,2,2,,4,,,,,,,
Absolution (PR),nsp_absolution_domain,Battleship,Low Tech,deepstrike_domain,55,31000,3500,25000,14500,700,240,,50,8,4,5,5,7000,FRONT,,0,0.2,0.95,,,1100,2500,500,350,30,20,9,680000,5,12,720,0.25,55,55,"COMBAT, NEVER_DODGE_MISSILES, SHIP_WITH_MODULES",restricted,,0.4,2,4,,5,,,,,,,
Absolution,nsp_absolution,Battleship,Low Tech,deepstrike,55,35000,3500,25000,14500,500,240,,50,8,4,5,5,7500,PHASE,canister_flak,,,,,,1000,2500,500,350,30,20,9,680000,5,8,720,0.25,55,55,"COMBAT, NEVER_DODGE_MISSILES","rare_bp, merc, ind",,0.4,2,4,,6,,,,,,,
St. Bernard,nsp_bernard,Cruiser,Low Tech,deepstrike,20,14000,1400,10000,1875,500,130,,75,15,15,20,15,2500,PHASE,damper,120,0.4,1,,,100,300,400,180,10,60,8,70000,5,10,540,0.25,20,20,,"base_bp, merc, ind",,0.4,2,3,,,,,,,,,
Defense Module,nsp_absolution_domain_noseshield,Defense Module,,canister_flak,0,8000,5500,25000,14500,1000,40,,100,80,50,40,50,500,FRONT,,220,0.2,0.95,,,0,0,0,0,2,30,10,50000,5,15,420,0.25,25,25,"UNBOARDABLE, HIDE_IN_CODEX","module_hull_bar_only, always_detaches, module_unselectable, module_refit_bright",,12,3,6,,,,,,,,,
Thgualsno,nsp_thgualsno,Battleship,Unknown,burndrive,28,18000,1600,15000,15000,600,290,,20,15,10,6,6,4500,OMNI,,180,0.4,2.0,,,800,1600,230,600,13,27,7,350000,3,12,720,0.25,40,30,,restricted,,0.4,2,4,,7,,,,,,,
